runtag	topic	nDCG1 	nDCG0 
Lab-0	RTS1 	0.0565	0.0565
Lab-0	RTS10	0.1332	0.1332
Lab-0	RTS13	0.0657	0.0657
Lab-0	RTS14	0.2500	0.2500
Lab-0	RTS19	0.0000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.1387	0.1387
Lab-0	RTS24	0.0000	0.0000
Lab-0	RTS25	0.0301	0.0301
Lab-0	RTS27	0.1509	0.1509
Lab-0	RTS28	0.1384	0.0384
Lab-0	RTS31	0.0141	0.0141
Lab-0	RTS32	0.1781	0.0781
Lab-0	RTS35	0.0869	0.0869
Lab-0	RTS36	0.1339	0.1339
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.0315	0.0315
Lab-0	RTS43	0.0399	0.0399
Lab-0	RTS5 	0.0316	0.0316
Lab-0	RTS6 	0.1157	0.1157
Lab-0	All  	0.0798	0.0698
