runtag	topic	nDCG1 	nDCG0 
Lab-0	RTS1 	0.0344	0.0344
Lab-0	RTS10	0.1334	0.1334
Lab-0	RTS13	0.0864	0.0864
Lab-0	RTS14	0.1431	0.0431
Lab-0	RTS19	0.0000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.0613	0.0613
Lab-0	RTS24	0.0000	0.0000
Lab-0	RTS25	0.0534	0.0534
Lab-0	RTS27	0.1270	0.1270
Lab-0	RTS28	0.1498	0.0498
Lab-0	RTS31	0.0433	0.0433
Lab-0	RTS32	0.1379	0.1379
Lab-0	RTS35	0.1871	0.0871
Lab-0	RTS36	0.0393	0.0393
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.1391	0.1391
Lab-0	RTS43	0.0254	0.0254
Lab-0	RTS5 	0.0072	0.0072
Lab-0	RTS6 	0.1124	0.1124
Lab-0	All  	0.0740	0.0590
