runtag	topic	nDCG1 	nDCG0 
Lab-0	RTS1 	0.0445	0.0445
Lab-0	RTS10	0.1691	0.1691
Lab-0	RTS13	0.0275	0.0275
Lab-0	RTS14	0.1631	0.0631
Lab-0	RTS19	0.2000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.0877	0.0877
Lab-0	RTS24	0.1631	0.0631
Lab-0	RTS25	0.0505	0.0505
Lab-0	RTS27	0.1231	0.1231
Lab-0	RTS28	0.0636	0.0636
Lab-0	RTS31	0.0178	0.0178
Lab-0	RTS32	0.1552	0.1552
Lab-0	RTS35	0.2693	0.0693
Lab-0	RTS36	0.1335	0.1335
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.1563	0.1563
Lab-0	RTS43	0.0254	0.0254
Lab-0	RTS5 	0.0056	0.0056
Lab-0	RTS6 	0.1848	0.1848
Lab-0	All  	0.1020	0.0720
